source,target
10,219
10,555
10,727
103,555
103,663
103,696
103,828
106,133
106,160
106,164
106,166
106,193
106,195
106,202
106,27
106,274
106,285
106,42
106,428
106,436
106,442
106,461
106,511
106,522
106,562
106,57
106,625
106,694
106,781
106,821
106,83
106,858
106,861
106,871
106,882
106,888
106,96
107,130
107,14
107,196
107,221
107,240
107,274
107,281
107,555
107,562
107,640
107,828
107,871
117,202
117,221
117,260
117,261
117,267
117,452
117,555
117,581
117,696
117,828
117,891
118,119
118,186
118,257
118,828
118,866
119,602
119,842
119,866
122,904
125,221
125,452
129,195
129,221
129,225
129,240
129,366
129,485
129,522
129,537
129,6
129,633
129,692
129,7
129,810
129,817
129,830
129,882
129,99
13,221
13,230
13,260
13,29
13,376
13,391
13,452
13,581
13,628
13,633
13,692
13,882
130,164
130,166
130,193
130,197
130,240
130,261
130,274
130,29
130,305
130,325
130,401
130,42
130,434
130,461
130,479
130,490
130,50
130,505
130,530
130,585
130,597
130,627
130,633
130,637
130,673
130,696
130,763
130,817
130,821
130,83
130,855
131,161
131,221
131,225
131,230
131,240
131,260
131,261
131,267
131,332
131,437
131,452
131,485
131,501
131,562
131,625
131,692
131,728
131,828
131,829
131,870
131,894
133,240
133,381
133,391
133,562
133,633
133,656
133,666
133,697
133,871
139,517
139,866
14,164
14,193
14,202
14,240
14,261
14,27
14,274
14,285
14,339
14,349
14,366
14,415
14,432
14,436
14,452
14,461
14,490
14,505
14,558
14,562
14,573
14,673
14,696
14,786
14,81
14,828
14,858
14,871
14,96
145,202
145,274
145,391
145,501
145,550
145,625
145,697
145,786
145,81
145,815
145,828
145,99
151,230
151,267
151,381
151,452
151,550
151,555
151,581
151,62
151,728
151,767
151,817
151,830
151,891
160,196
160,197
160,202
160,221
160,240
160,261
160,303
160,391
160,442
160,452
160,461
160,501
160,511
160,640
160,656
160,7
160,745
160,81
160,836
160,875
161,261
161,400
161,452
161,550
161,568
161,625
161,663
161,728
161,828
161,904
164,281
164,381
164,391
164,562
164,666
164,890
166,562
166,656
166,697
166,7
166,890
168,174
168,239
168,347
168,364
168,472
168,790
168,903
169,173
169,219
169,249
169,429
169,555
169,768
171,517
173,197
173,452
173,745
173,828
173,99
174,26
174,364
174,472
174,481
174,510
174,635
174,876
178,882
183,202
183,225
183,267
183,452
183,555
183,561
183,727
183,767
183,79
183,817
183,830
183,870
185,204
185,217
185,335
185,555
188,408
188,472
188,481
188,49
188,497
188,510
188,661
188,671
188,701
188,726
188,790
188,876
193,452
193,511
193,555
193,656
193,697
193,817
194,234
194,239
194,26
194,347
194,364
194,49
194,701
194,738
194,839
194,848
194,876
194,903
194,94
195,196
195,197
195,240
195,274
195,303
195,391
195,452
195,501
195,555
195,625
195,666
195,696
195,7
195,727
195,786
195,815
195,836
196,197
196,221
196,225
196,261
196,305
196,388
196,432
196,434
196,436
196,442
196,461
196,50
196,505
196,522
196,562
196,571
196,573
196,616
196,62
196,625
196,627
196,692
196,696
196,727
196,785
196,81
196,821
196,858
196,877
196,882
197,202
197,221
197,225
197,230
197,252
197,255
197,29
197,317
197,333
197,391
197,421
197,461
197,487
197,501
197,522
197,537
197,55
197,562
197,62
197,628
197,692
197,730
197,745
197,763
197,810
197,830
197,877
20,391
20,52
20,555
20,727
202,255
202,267
202,29
202,296
202,317
202,325
202,335
202,366
202,368
202,398
202,416
202,442
202,461
202,488
202,522
202,527
202,537
202,55
202,597
202,62
202,633
202,646
202,656
202,697
202,807
202,815
202,817
202,828
202,830
202,851
202,871
202,877
202,891
202,894
204,267
204,550
204,696
204,786
204,828
204,894
209,224
209,255
209,260
209,261
209,296
209,325
209,537
